affinity,SiO2,TiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O
ca,52.28,1.01,17.13,8.20,8.73,7.79,3.24,1.01
ca,61.9,1.02,16.46,5.90,5.11,2.32,4.19,2.29
ca,58.84,1.02,16.74,7.40,6.77,3.81,4.01,1.07
ca,57,1.02,17.93,6.76,7.34,4.22,3.63,1.01
ca,49.4,1.02,18.6,8.42,12.4,7.61,2.07,0.16
ca,57.91,1.03,17.56,6.30,6.58,4.16,4.45,1.27
ca,61.8,1.04,16.19,5.77,5.4,2.82,3.68,2.47
ca,61.4,1.04,16.12,5.99,5.44,2.88,4.05,2.27
ca,55.3,1.04,17.8,7.28,7.26,3.73,3.78,1.04
ca,54,1.04,16.9,4.87,8.6,7.28,3.7,1.23
ca,61.8,1.05,15.8,6.01,5.15,2.85,4.17,2.42
ca,54.2,1.05,18.4,7.60,8.2,5.7,3.8,0.8
ca,56.09,1.06,18.53,6.24,7.93,4.27,4.08,0.74
ca,53.82,1.06,17,7.36,8.78,5.75,3.63,0.86
ca,54.32,1.07,18.27,6.67,8.46,2.88,4.16,1.11
ca,56.64,1.07,17.14,6.76,7.85,4.34,3.98,1.55
ca,52.4,1.07,18,8.05,8.58,6.85,3.9,0.56
ca,48.46,1.07,17.39,9.07,11.1,8.64,2.8,0.22
ca,52.2,1.08,19.04,7.76,8.74,5.64,3.75,0.56
ca,61.1,1.09,16.52,6.07,5.27,2.51,4.28,2.41
ca,50.56,1.09,15.55,8.42,8.33,9.57,2.82,1.02
ca,60.6,1.1,16.67,6.19,5.44,2.65,4.21,2.31
ca,59.1,1.1,17.1,6.76,6.27,2.78,4.56,1.22
ca,56,1.1,17.8,7.10,7.4,3.5,4.2,1.4
ca,57.4,1.1,17.8,7.40,6.6,4.1,4.5,1.05
ca,53.4,1.1,17.1,7.44,9,5.5,3.5,1.2
ca,52.2,1.1,17,8.52,10.1,5.6,3.3,0.79
ca,53.8,1.1,17.6,5.55,8.03,6.04,3.97,0.78
ca,52.9,1.1,17.7,5.23,9.61,6.43,3.5,0.76
ca,49.1,1.1,16.8,10.50,10.6,8.3,2.7,0.5
ca,49.66,1.1,17.37,9.82,9.51,8.59,3.1,0.48
ca,58.78,1.11,17.25,6.82,6.24,3.44,4.52,1.38
ca,55.49,1.11,18.65,6.35,8.09,4.29,4.02,0.87
ca,53.2,1.11,18.3,7.90,9.1,5.6,4.1,0.8
ca,56.2,1.12,17.9,6.68,7.26,4,4.4,1.6
ca,55.24,1.12,18.01,7.46,7.54,4.44,4.07,0.82
ca,55.4,1.12,17.7,7.70,8.1,4.7,4.2,1.19
ca,53,1.12,17.1,7.40,9.69,6.45,3.54,1.01
ca,52.6,1.12,17,5.10,9.7,6.95,3.62,1.02
ca,52.38,1.12,15.8,8.25,8.9,8.19,3.19,1.19
ca,53.81,1.13,18.38,7.38,8,3.12,4.12,1.1
ca,51.2,1.13,17.3,8.36,8.97,8.15,3.38,0.85
ca,52.66,1.13,16.04,7.36,8.49,8.41,3.62,1.74
ca,59.3,1.14,17.6,6.66,6.29,2.65,4.54,1.25
ca,57.63,1.14,17.07,7.92,6.68,3.83,4.19,1.12
ca,54.2,1.14,18.24,7.29,8.62,4.88,3.65,0.73
ca,53.5,1.14,17.8,10.30,7.88,5.32,2.81,0.85
ca,51.48,1.14,18.03,7.93,9.13,7.22,3.44,0.97
ca,59.9,1.15,16.23,6.58,5.63,3.06,4.34,2.3
ca,53.56,1.15,18.18,7.90,7.76,5.21,3.93,0.9
ca,52.6,1.15,16.35,8.36,8.7,8.22,3.2,1.16
ca,50.98,1.15,15.67,8.86,8.7,8.83,2.9,1.2
ca,48.3,1.16,17.51,10.98,9.89,8.37,3.23,0.22
ca,53.32,1.16,15.61,7.69,7.67,9.05,3.43,1.35
ca,59.7,1.17,16.6,6.63,5.58,2.94,4.24,2.33
ca,50.3,1.17,18.3,7.88,11.7,6.58,3.37,0.4
ca,50.78,1.17,16.63,8.80,8.81,9.23,3.01,0.91
ca,59.6,1.18,16.68,6.56,5.75,2.95,4.17,2.26
ca,59.3,1.18,16.8,6.63,5.99,3.1,4.06,2.12
ca,56.5,1.18,17.41,7.56,6.88,4.24,4.43,1.24
ca,51.93,1.18,16.36,8.52,8.41,8.36,3.07,1.26
ca,50,1.18,17.2,6.05,10,8.44,3.32,0.54
ca,53.53,1.18,15.83,7.49,7.75,8.64,3.49,1.37
ca,59.9,1.19,16.55,6.56,5.51,2.83,4.17,2.43
ca,59.3,1.19,16.56,6.83,5.96,3.13,4.14,2.1
ca,55.6,1.19,18.1,7.71,7.38,3.32,4.06,1.03
ca,52.7,1.19,17,5.21,9.52,6.86,3.69,0.97
ca,49.1,1.19,17.2,10.35,10.1,6.91,3.25,0.33
ca,51.35,1.19,17.02,8.45,9.14,8.05,3.14,1.02
ca,51.35,1.19,17.02,8.45,9.14,8.05,3.14,1.02
ca,50.12,1.19,16.58,9.14,8.23,9.94,2.73,0.71
ca,59.4,1.2,16.53,6.77,5.64,3,4.35,2.36
ca,55.9,1.2,17.4,8.00,7.1,4.1,4.5,1.15
ca,52,1.2,19,8.30,8.5,6.6,3.7,0.65
ca,49.9,1.2,16.3,8.70,9.4,10.2,2.9,1.5
ca,59.9,1.21,16.66,6.61,5.75,2.92,3.93,2.23
ca,58.7,1.21,16.94,6.82,5.93,3.11,4.32,2.21
ca,59.3,1.21,16.71,6.69,5.85,3.12,4.11,2.17
ca,52.5,1.21,17.9,9.03,8.2,5.48,4.31,0.81
ca,50.3,1.21,18.2,8.09,12.1,6.29,3.16,0.37
ca,50.1,1.21,18.3,8.01,11.9,6.5,3.29,0.4
ca,60.13,1.22,16.85,8.26,5.17,1.89,4.65,1.42
ca,59.2,1.22,16.78,6.67,5.84,2.96,4.23,2.26
ca,58,1.22,17.09,6.99,6.62,3.58,3.93,1.8
ca,58.26,1.22,16.19,7.60,6.56,4.28,4.15,1.29
ca,47.98,1.22,16.7,10.99,9.06,9.03,3.12,0.35
ca,58.2,1.23,17.02,6.93,6.38,3.27,4.2,1.96
ca,56.14,1.23,17.32,6.89,7.12,4.82,4.14,1.2
ca,52.1,1.23,18.33,9.52,7.99,5.2,4.25,0.95
ca,61,1.24,17.3,5.87,5.29,2.25,4.89,1.52
ca,59.41,1.24,16.74,6.76,5.9,3.21,4.16,2.15
ca,57.6,1.24,16.91,7.21,6.57,3.7,4.14,1.76
ca,54.15,1.24,17.09,6.84,8.81,5.4,3.94,1.02
ca,54.1,1.24,17.33,7.53,8.01,5.41,4.08,0.94
ca,52,1.24,18.5,6.00,8.46,6.3,3.7,0.57
ca,59.6,1.25,16.51,6.74,5.79,3.01,4.03,2.26
ca,58.9,1.25,16.92,6.79,5.98,3.06,4.15,2.16
ca,56.9,1.25,18.3,6.90,7,3.6,4.5,1.15
ca,52.1,1.25,19.4,7.50,10,5.5,3.5,0.75
ca,54.3,1.25,17.6,7.70,8.3,5.6,3.7,0.95
ca,52.6,1.25,17.8,9.22,8.06,5.74,4.27,0.76
ca,50.8,1.25,18,8.07,12,5.95,3.27,0.4
ca,52.51,1.25,15.34,8.01,7.65,9.07,3.21,1.43
ca,57.45,1.26,17.76,6.90,6.69,3.42,4.15,1.02
ca,49.8,1.26,16.6,10.20,11.9,7.44,2.13,0.34
ca,54.42,1.26,15.56,7.19,7.61,8.54,3.65,1.45
ca,59.6,1.27,16.73,6.61,5.13,2.62,4.55,2.63
ca,59.5,1.27,16.76,6.61,5.17,2.63,4.52,2.63
ca,57.4,1.27,17.03,7.29,6.62,3.77,4,1.8
ca,54.24,1.27,17.06,7.05,8.54,5.76,3.79,1
ca,52.73,1.27,17.48,8.79,8.79,6.46,3.38,0.74
ca,50.05,1.27,17.95,8.75,9.15,7.72,3.65,0.76
ca,55.8,1.28,16.51,7.10,7.38,4.75,3.88,1.78
ca,54.59,1.29,16.13,8.71,7.74,5.57,3.85,4.56
ca,61,1.3,16.9,6.04,5.3,2.33,5.13,1.39
ca,57.1,1.3,16.8,7.12,6.1,2.8,4.5,2.4
ca,52.6,1.3,17.8,7.06,8.01,4.06,4.46,1.32
ca,54.2,1.3,18.3,5.16,7.55,4.29,3.82,2.12
ca,53.65,1.3,18.7,8.64,7.37,4.46,4.42,1.04
ca,48.5,1.3,17.7,9.36,12.2,7.43,2.04,0.18
ca,54.3,1.31,18.4,9.18,8.06,4.72,2.57,0.99
ca,53.3,1.31,18.5,9.39,8.68,4.84,2.67,0.88
ca,52.5,1.31,17.8,9.20,8.15,5.9,4.15,0.78
ca,52.21,1.32,16.88,7.65,8.85,6.02,4.18,2.19
ca,49.64,1.32,15.56,8.28,9.78,10.67,3.03,0.92
ca,48.9,1.33,18.2,8.59,12.9,6.17,2.5,0.26
ca,49.31,1.33,16.99,9.67,10.05,8.65,2.9,0.45
ca,53.1,1.35,18.1,8.70,8.3,5.6,3.9,0.9
ca,49.29,1.35,17.91,10.59,10.44,6.5,3.36,0.22
ca,51.5,1.35,17.7,9.20,8,7.4,3.5,0.85
ca,50.2,1.35,17.1,9.40,9,9.1,3.3,0.55
ca,51.85,1.36,16.15,8.35,8.87,7.86,3.56,1.23
ca,49.8,1.37,16.29,8.60,9.31,8.86,3.76,1.1
ca,50.82,1.38,16.41,8.79,8.77,8.43,3.56,1.12
ca,52.38,1.4,18.21,9.40,7.7,5.15,4.27,1.02
ca,50.53,1.4,17.51,9.99,9.98,5.85,3.49,0.86
ca,52.37,1.4,16.78,8.08,8.38,7.92,3.62,0.94
ca,49.3,1.4,17.3,10.60,8.9,8.4,3.1,0.5
ca,49.5,1.41,16.7,9.81,11.6,6.24,3.86,0.5
ca,48.9,1.41,16.25,10.37,8.88,8.01,3.49,0.7
ca,50.1,1.41,17.1,9.90,9.53,8.59,3.3,0.37
ca,52.9,1.43,18.31,8.21,7.95,5.45,4.26,0.99
ca,52.96,1.43,18.33,8.22,7.96,5.46,4.27,0.99
ca,51.14,1.43,17.41,8.61,9.14,6.73,3.33,0.69
ca,48.7,1.44,18.6,8.43,11.6,7.53,2.59,0.64
ca,50.6,1.45,17.6,9.30,9,7.6,3.1,0.7
ca,49.5,1.45,16.9,9.90,9.1,8.9,3.3,0.45
ca,50.1,1.45,16.9,9.10,9,9,3.3,0.8
ca,48.56,1.47,17.47,11.67,9.58,6.57,3.65,0.56
ca,48.64,1.47,17.5,11.69,9.6,6.58,3.66,0.56
ca,58.01,1.49,16.65,9.46,5.81,2.2,4.62,1.32
ca,57.92,1.49,16.63,9.45,5.8,2.2,4.61,1.32
ca,50.14,1.49,16.2,10.20,8.85,8.07,3.76,0.83
ca,48.8,1.5,18.4,9.81,11.6,6.05,2.23,0.29
ca,48.1,1.5,17.4,9.81,11.5,7.43,2.6,0.3
ca,50,1.5,17.7,9.70,9,7.6,3,0.55
ca,49.1,1.5,17.1,10.00,8.8,8.6,3.6,0.45
ca,49.1,1.5,17.1,10.70,8.5,8.7,2.9,0.55
ca,49.5,1.5,16.4,9.70,8.5,9.4,3.3,0.7
ca,52.93,1.51,18.24,8.21,7.82,4.78,4.11,0.87
ca,50.6,1.51,17.7,9.30,9.61,7.04,3.3,0.59
ca,49.52,1.51,16.06,10.20,8.74,8.13,3.47,0.82
ca,49.4,1.51,16.03,9.02,9.47,8.94,3.6,1.11
ca,50.77,1.52,17.03,9.39,9.11,6.54,3.38,1.21
ca,48.95,1.52,16.82,10.69,10.4,7.89,3.04,0.33
ca,51.38,1.53,17.44,10.57,8.01,5.64,3.69,0.79
ca,49.17,1.53,15.67,9.61,8.69,8.37,3.56,0.91
ca,52.13,1.54,17.28,9.65,7.93,5.88,4.03,1
ca,50.95,1.54,17.35,9.54,9.33,6.14,3.6,0.65
ca,51.23,1.55,17.45,9.59,9.38,6.17,3.62,0.65
ca,49.5,1.55,17.5,9.30,9.4,7.7,3.3,0.65
ca,50.2,1.55,17.5,9.30,8.8,8.2,3.4,0.7
ca,50.27,1.55,16.38,8.48,9.38,8.48,3.36,0.7
ca,49.2,1.55,15.94,9.17,9.7,8.89,3.4,1.15
ca,50.99,1.56,17.66,10.05,7.99,6.17,4.22,0.97
ca,49.77,1.56,17.24,9.30,9.1,7.74,3.27,0.55
ca,50.71,1.56,16.97,8.44,7.82,8.81,3.61,1.32
ca,48.38,1.57,17.35,11.03,10.51,7.11,3.31,0.37
ca,47.2,1.57,17.6,9.72,12.1,7.3,3.06,0.29
ca,54.8,1.59,17.47,8.24,6.95,4.22,4.12,1.73
ca,52.63,1.59,17.87,10.46,8.27,5.66,3.86,0.8
ca,48.8,1.59,15.9,10.35,12,7.78,1.78,0.27
ca,52.95,1.6,16.43,8.86,7.61,5.97,3.81,1.03
ca,53.08,1.6,16.38,8.89,7.6,6.07,3.86,1.04
ca,50.26,1.61,16.51,10.13,9.1,5.16,3.49,1.07
ca,46.22,1.61,15.08,10.15,8.94,7.35,3.15,1.07
ca,50.21,1.62,16.11,10.41,9.56,7.4,3.07,1.05
ca,49,1.65,18,9.50,8.7,7.9,3.5,0.8
ca,54.4,1.66,17.64,8.29,7.29,4.26,3.87,1.72
ca,51.42,1.66,17.18,10.06,8.94,5.78,3.64,0.87
ca,51.22,1.69,17.88,7.76,8.27,6.83,4.07,1.48
ca,51.77,1.73,17.74,8.53,8.3,6.19,4.24,1.17
ca,50.12,1.73,16.2,9.27,9.14,7.24,3.94,1.43
ca,44.15,1.76,15.22,13.38,10.69,8.06,2.88,1.1
ca,49.6,1.77,16.31,9.27,9.68,7.87,3.35,1.19
ca,48.3,1.78,16.12,9.59,10.34,8.68,3.02,1.17
ca,48.53,1.79,15.27,9.15,8.38,8.3,3.59,1.23
ca,51.04,1.82,17.06,8.94,8.32,6.73,3.78,1.08
ca,49.5,1.87,16.49,9.18,9.47,7.49,3.56,1.38
ca,47.6,1.87,16.05,9.54,8.19,8.06,3.22,1.23
ca,48.46,1.89,16.46,10.23,9.16,7.94,3.73,1.44
ca,48.8,1.89,16.06,9.58,9.83,7.95,3.42,1.46
ca,48.5,1.89,16.48,9.47,9.39,8.11,3.57,1.49
ca,48.8,1.9,16.56,9.26,9.22,7.99,3.75,1.45
ca,49.97,1.9,15.35,10.82,8.32,9.31,4.14,1.22
ca,47.77,1.91,13.74,12.16,8.31,11.34,3.4,0.74
ca,46.08,1.92,14.01,11.23,8.4,9.67,4.32,1.06
ca,45.99,1.92,14.55,11.43,9.63,10.53,3.41,1.18
ca,48.4,1.93,16.4,9.81,13,6.47,2.33,0.15
ca,49.34,1.93,15.52,10.45,9.1,8.41,3.53,1.13
ca,49.1,1.94,16.42,9.28,9.32,7.87,3.58,1.43
ca,49.96,1.95,16.98,9.37,9.01,7,3.89,1.28
ca,49.6,1.95,16.53,9.35,9.49,7.12,3.63,1.34
ca,50.3,1.96,16.75,9.13,9.53,6.32,3.64,1.41
ca,49.4,1.97,16.09,9.48,9.74,7.5,3.56,1.3
ca,49.94,1.98,16.26,10.53,8.54,6.83,3.9,1.34
ca,49.28,2,16.88,10.12,8.7,7.16,3.89,1.26
ca,48.27,2.02,14.81,11.97,8.77,11.12,2.72,1
ca,49.89,2.04,16.82,10.12,8.62,6.61,3.88,1.31
ca,46.96,2.04,16.85,10.14,8.63,6.62,3.89,1.31
ca,46.13,2.06,15.39,12.48,9.27,6.87,2,1
ca,45.35,2.07,16.71,13.81,11.13,5.54,3.15,1.2
ca,48.4,2.08,15.91,9.74,9.85,8.11,3.34,1.46
ca,48.3,2.09,16.15,9.48,9.32,8.1,3.82,1.57
ca,48.92,2.1,16.67,11.12,8.71,6.67,3.78,1.36
ca,48.99,2.1,16.7,11.14,8.72,6.68,3.79,1.36
ca,55.59,2.111,14.03,10.52,7.28,3.66,3.11,1.58
ca,48.5,2.15,15.9,12.10,9.2,8,3.2,0.5
ca,49.33,2.24,16.78,11.06,9.75,6.56,3.14,0.66
ca,50.48,2.25,16.43,10.55,7.2,6.06,4.13,2
ca,49.98,2.26,17.12,10.97,6.5,5.8,4.28,2.17
ca,50.98,2.28,16.98,10.78,7.62,4.28,4.77,1.33
ca,49,2.28,16.3,10.44,7.33,6.28,4.17,2.254
ca,49.07,2.54,16.77,12.89,6.65,4,4.44,2.24
ca,49.14,2.57,15.5,11.99,9.39,6.88,3.22,0.76
ca,48.5,2.8,17,9.48,7.9,4.2,4,1.7
ca,47.04,3.58,17.04,12.53,8.15,6.48,3.1,1.37
ca,48,3.8,16.2,8.39,10.2,4,3.4,1.2
