affinity,SiO2,TiO2,Al2O3,FeOT,CaO,MgO,Na2O,K2O
th,49.13,1.66,15.45,12.34,11.29,6.06,2.28,0.234
th,49.16,2.80,13.06,13.93,10.55,6.07,2.42,0.43
th,47.02,1.84,17.89,9.880382,13.88,6.08,1.92,0.19
th,49.37,1.99,14.81,12.87,10.78,6.10,2.56,0.266
th,49.33,2.10,13.64,12.81,10.74,6.11,2.86,0.297
th,49.34,2.95,13.97,13.50,9.93,6.12,3.19,0.13
th,52.7,1.18,15.00,9.83,11.61,6.12,2.48,0.54
th,48.57,2.88,12.89,14.41,10.61,6.13,2.4,0.41
th,49.32,2.70,13.31,13.64,10.69,6.13,2.43,0.42
th,49.29,2.65,13.19,13.55,10.73,6.14,2.43,0.42
th,49.36,2.71,13.16,13.64,10.70,6.14,2.43,0.42
th,49.15,2.74,13.14,13.79,10.63,6.15,2.41,0.42
th,49.23,2.69,13.21,13.62,10.71,6.20,2.45,0.43
th,49.17,2.71,13.21,13.69,10.80,6.21,2.41,0.42
th,49.32,1.83,13.86,14.13,10.23,6.21,2.17,0.279
th,49.29,2.72,12.99,13.90,10.54,6.27,2.44,0.44
th,48.9,2.31,13.80,12.20,11.80,6.29,2.78,0.36
th,48.41,1.48,17.26,9.39,12.6,6.42,2.53,0.3
th,48.74,2.06,14.45,11.737156,11.13,6.47,2.35,0.19
th,48.06,2.06,16.39,10.43,12.16,6.49,2.51,0.3
th,47.86,1.60,17.06,10.938138,12.76,6.51,2.22,0.13
th,46.99,1.84,15.29,12.59,11.02,6.65,2.46,0.41
th,48.8,2.17,14.30,11.20,11.70,6.68,2.48,0.49
th,48.8,2.43,13.50,12.80,12.20,6.71,2.54,0.27
th,50.71,1.53,14.33,11.19,12.34,6.72,2.29,0.15
th,47.1,2.49,13.7,12.7,12.2,6.79,2.43,0.3
th,48.52,1.87,14.52,11.27,12.31,6.8,2.44,0.37
th,49.76,1.74,13.83,12.88,11.70,6.85,2.22,0.24
th,48.44,1.61,16.09,10.52,12.18,6.89,2.41,0.31
th,49.27,1.30,15.82,10.00,12.51,6.89,2.47,0.138
th,47.67,2.05,16.81,10.59,11.68,6.9,2.73,0.32
th,48.1,1.93,16.3,10.25,12.21,6.9,2.58,0.28
th,48.39,2.04,16.16,10.64,12.1,7.01,2.47,0.29
th,48.9,2.04,13.90,11.60,12.50,7.04,2.49,0.24
th,48.4,2.06,14.75,12.061204,11.72,7.13,2.26,0.11
th,48.19,0.46,18.73,7.703388,14.35,7.18,1.89,0.07
th,48.08,1.38,17.31,9.38,12.57,7.21,2.29,0.27
th,48.5,1.98,14.63,12,11.8,7.21,2.46,0.31
th,49.36,0.89,16.20,10.52,12.37,7.24,1.9,0.15
th,48.9,1.69,14.80,10.50,12.80,7.25,2.24,0.4
th,47.67,1.51,18.07,9.06,12.31,7.29,2.38,0.24
th,49.21,1.80,13.99,11.58,10.32,7.29,1.97,0.285
th,48.1,1.86,14.76,11.9,12.08,7.3,2.33,0.22
th,45.82,2.34,15.47,12.91,10.79,7.31,2.17,0.16
th,49.34,1.08,15.05,10.87,12.26,7.31,2.21,0.21
th,49.68,1.61,14.65,11.59,12.34,7.33,2.23,0.33
th,48.5,1.38,16.9,9.05,12.7,7.4,2.37,0.29
th,49,1.30,14.10,11.30,13.50,7.41,2.33,0.11
th,48.8,1.90,14.00,12.00,12.50,7.42,2.34,0.15
th,47.97,1.56,14.87,11.34461,12.48,7.51,2.38,0.22
th,48.13,1.50,15.77,10.46,12.46,7.51,2.33,0.18
th,49.2,1.06,16.06,10.45,12.55,7.52,2.22,0.109
th,47.4,2.01,15.2,11.6,12.7,7.55,2.51,0.31
th,49.22,1.49,15.02,11.13,12.61,7.55,2.14,0.146
th,47.4,2.07,15.7,11.5,12.2,7.59,2.41,0.33
th,48.91,1.53,15.10,11.36,12.08,7.59,2.17,0.2
th,48.91,1.53,15.10,11.36,12.08,7.59,2.17,0.2
th,49.08,1.63,14.72,12.08,11.58,7.60,2.18,0.223
th,49.13,1.51,14.78,11.26,12.56,7.65,2.1,0.16
th,48.35,1.37,16.58,9.61,12.42,7.67,2.36,0.27
th,49.31,1.52,14.06,11.76,12.50,7.68,2.07,0.17
th,48.9086327016456,1.00,14.71,10.96,12.08,7.69,1.88732650705607,0.154862683215294
th,48.9,1.38,14.20,11.20,13.30,7.70,2.26,0.12
th,49.86,1.57,14.72,11.54,12.37,7.79,2.17,0.21
th,48.8715083790067,1.06,14.68,11.22,12.15,7.79,1.82125491674855,0.148183467662883
th,46.78,0.90,13.01,8.92,9.85,7.8,2.88,0.47
th,49.56,1.55,14.75,11.50,12.35,7.81,2.18,0.24
th,49.65,1.55,14.67,11.33,12.52,7.83,2.16,0.26
th,49.68,1.53,15.05,11.23,12.46,7.85,2.19,0.36
th,51.52,2.46,15.86,10.56,7.59,7.85,4.66,1.31
th,48.9003324660136,1.08,14.92,11.41,12.15,7.85,1.72236853159198,0.123453004576535
th,48.48,1.52,14.76,10.82,12.76,7.89,2.21,0.19
th,48.9264926367351,1.01,14.83,11.07,12.20,7.92,1.83356269529803,0.132247200908155
th,49.69,1.55,14.77,11.28,12.60,7.96,2.14,0.27
th,47.8199844640817,0.93,14.6952950299013,10.77,12.50,7.97,1.71362084416477,0.098632827658321
th,48.79,1.14,15.86,10.116836,12.94,7.98,2.2,0.2
th,48.51,1.75,15.09,12.36,11.77,8.01,2.25,0.25
th,47.22,1.78,15.27,11.52,11.67,8.03,2.13,0.16
th,48.1,1.63,16.31,11.53,11.73,8.04,2.18,0.16
th,48.42,1.50,15.04,10.83,12.63,8.07,2.31,0.18
th,49.0663367569586,1.03,14.83,11.56,12.32,8.08,1.92153227795594,0.113444695615999
th,48.2,1.71,15.72,11.93,11.65,8.08,2.17,0.17
